id,title,description,provider,delivery_mode,cost_gbp,cost_category,duration,duration_category,access,education_outcome,target_audience,category,sub_theme,url,asset_category,review_status,image_url
24,Understanding homelessness and housing: local authority duties,"Get an overview of local authority homelessness duties, including the prevention, relief and main housing duties.",Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Health Inclusion Groups""]","[""Homelessness""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/homelessness_housing_local_authority_duties_course,"[""Course""]",Approved,
25,Understanding Factors Impacting Wellbeing in Asylum Seekers and Refugees,"Understanding Factors Impacting Wellbeing in Asylum Seekers and Refugees

to understand how to communicate about emotional and mental well-being
To understand how trauma symptoms may present in people
To learn techniques to work with traumatised people",Solace,Online or Face to Face,0,Various,2.5 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""Asylum Seekers"", ""Refugees""]",https://www.solace-uk.org.uk/training/specialist_training/understanding-factors-impacting-wellbeing-in-ras,"[""Course""]",Approved,
26,Understanding Equality Impact Assessments (EIA's),"Understanding Equality Impact Assessments (EIA's)

the purpose of conducting an EIA
the business benefits
when an EIA is necessary
how to scope an EIA
how to collect quality information
strategies for involving and engaging stakeholders
analysing equality effects
planning for action and reporting.",Leeds Health and Care Academy,Online,0,Free,0,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Equality Impact Assessments (EIA)""]",https://leedshealthandcarelearningportal.org/course/view.php?id=37,"[""Course""]",Approved,
27,Understanding Coercive Control,"This 90 minute interactive workshop (CPD Certified) will expand on your knowledge of domestic abuse, looking in detail at the impact of coercive control, and how we can identify and respond to it appropriately.
In this workshop you will:
• recognise how vulnerable people may be particularly targeted for coercive control
• using a case study, understand how professional curiosity can be beneficial in identifying coercive control and safeguarding individuals
• learn from the findings of DHRs &amp; SARs to improve practice",Behind Closed Doors,Online,200,Paid,90 mins,Less than a day,Book Via Email,Intermediate,"[""All""]","[""Domestic Abuse"", ""Safeguarding""]","[""Coercive Control""]",https://behind-closed-doors.org.uk/training/domestic-abuse-training/,"[""Course""]",Approved,
28,Unconscious Bias in Focus (UK),"This course will give a better understanding of:

Techniques for how to identify implicit behaviour and how to overcome it
How to promote awareness of the negative impact of unconscious bias on the workplace",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Workforce""]","[""Anti-racism""]",https://leedshealthandcarelearningportal.org/course/view.php?id=182,"[""Course""]",Approved,
29,Trans and Non-binary Awareness,"This training will give a better understanding of:

people’s personal experiences of being trans and non-binary
key terminology around gender identities and the gender spectrum
gender transitioning and change of gender expression
inappropriate language and behaviour that trans and non-binary people can encounter
inappropriate language and behaviour that transgender people can encounter
how to behave appropriately and respectfully towards trans and non-binary customers, clients and colleagues.",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Wider social determinants of Health""]","[""LGBTQ+""]",https://leedshealthandcarelearningportal.org/course/view.php?id=43,"[""Course""]",Approved,
30,Training programme to meet the medical needs of adults with a learning disability,"NHS England commissioned the Royal College of Physicians (RCP) to develop a training programme to meet the medical needs of adults with a learning disability. Learners completing the programme will be able to champion good care and provide clinical leadership in their workplace, enabling practitioners to work in a learning disability physician/practitioner role.",Royal College of Physicians,Online or Face to Face,0,TBC,12 months,1 Year,Register on website,PGCert,"[""Doctor"", ""Dentist""]","[""Autism and Learning Disabilities""]","[""0""]",https://www.rcp.ac.uk/events-and-education/education-and-professional-development/clinical-practice-credentials-and-research-cpd-opportunities/training-programme-to-meet-the-medical-needs-of-adults-with-a-learning-disability/,"[""Course""]",Approved,
31,The Lives of Gypsies and Travellers,"Out of respect for Gypsies and Travellers we chose to call our training ‘The Lives of Gypsies and Travellers’ rather than ‘awareness training’ or ‘cultural competency training’, as they have an ‘othering’ effect.
Provide training to different sectors and audiences across West Yorkshire and sometimes beyond
Bespoke and tailored sessions to your specific service and geographical area
Frontline staff, volunteers, leadership/commissioners – all are welcome and can be tailored to
Flexible delivery in-person and online
We cater for wide varieties of organisations and group sizes",Leeds GATE,Online or Face to Face,0,Various,various,Various,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Gypsy"", ""Roma"", ""Traveller""]",https://leedsgate.co.uk/professionals/training/,"[""Course""]",Approved,
32,The Impact of Micro-Behaviours in the Workplace,"the nature of micro-behaviours and the micro-messages we send
the impact of micro-inequities (negative micro-behaviours) in the workplace
how our micro-behaviours can reflect our unconscious bias
how using positive micro-messages (micro-affirmations) can help to improve employee engagement, enhance performance, unlock creativity and help build collaborative, cohesive teams.",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""Manager"", ""Line Manager"", ""Team Leaders""]","[""Workforce""]","[""Anti-racism""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=42,"[""Course""]",Approved,
33,The Effective Bystander,"why it’s important for bystanders to take action when they witness inappropriate behaviour
some common obstacles to effective intervention
key intervention strategies and when to use them.",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Allyship"", ""Bystander""]",https://leedshealthandcarelearningportal.org/course/view.php?id=64,"[""Course""]",Approved,
